CourseNo,CourseTitle,TermsOffered,Credits,Instructor,Description
CSC447,Natural Language Processing,2,4.0,James Allen,"<span>This course addresses issues of representing computing meaning from natural language, especially issues of understanding language in context using commonsense knowledge of the world. Topics will include a survey of English phrase structure and parsing, semantic representation (e.g., events, semantic roles, time, causality and speech acts), and theories and techniques for understanding language in context, including intention recognition, text understanding using knowledge of scripts and plans, and models of spoken dialogue systems (e.g., conversational agents such as Siri). CSC447, the graduate level version of the course, requires a substantial individual project.Prerequisites: CSC 242</span>"
CSC448,Stat Speech&Lang Processing,1,4.0,Daniel Gildea,"An introduction to statistical natural language processing and automatic speech recognition techniques. This course presents the theory and practice behind the recently developed language processing technologies that enable applications such as speech-driven dictation systems, document search engines (e.g., finding web pages) and automatic machine translation. Students taking this course at the 400 level will be required to complete additional readings and/or assignments."
CSC449,Machine Vision,3,4.0,Jiebo Luo,"<span>Introduction to computer vision, including camera models, basic image processing, pattern and object recognition, and elements of human vision. Specific topics include geometric issues, statistical models, Hough transforms, color theory, texture, and optic flow. CSC 449, a graduate-level course, requires additional readings and assignments.Prerequisites: MATH 161 and CSC 242; MATH 165 strongly recommended</span></p><p>"
CSC452,Computer Organization,3,4.0,Yuhao Zhu,"Introduction to computer architecture and the layering of hardware/software systems. Topics include instruction set design; logical building blocks; computer arithmetic; processor organization; the memory hierarchy (registers, caches, main memory, and secondary storage); I/Obuses, devices, and interrupts; microcode and assembly language; virtual machines; the roles of the assembler, linker, compiler, and operating system; technological trends and the future of computing hardware. Several programming assignments required."
CSC453,Collaborative Programming and Software Design,1,4.0,Chen Ding,"Modern software is complex and more than a single person can fully comprehend. This course teaches the principles and techniques of writing modular and composable code and collaborating with others in software design. The topics include advanced concepts and techniques in modern programming languages, principles of modularity, software architecture, design patterns, software development processes, and other examples of software design. A significant portion of the assignment is a group project to develop a groupware system. Students enrolled in the class are expected to already have significant programming experience in some languages. The programming languages used in lectures are mainly Ruby and Haskell. Prerequisites: CSC 252 and CSC 254, or equivalent."
CSC454,Prog Language Design & Imp.,1,4.0,Michael Scott,"Design and implementation of programming languages, with an emphasis on imperative languages and on implementation tradeoffs. In-depth examination of &#39;how programming languages work.&#39; Topics include fundamental language concepts (names, values, types, abstraction, control flow); compilation and interpretation (syntactic and semantic analysis, code generation and optimization); major language paradigms (imperative, object-oriented, functional, logic-based, concurrent). Course projects include assignments in several different languages, with an emphasis on compilation issues.Prerequisites: CSC 173 and 252, or equivalent."
CSC455,Software Analysis & Improv,2,4.0,Sreepathi Pai,"Programming is the automation of information processing. Program analysis and transformation is the automation of programming itself---how much a program can understand and improve other programs. Because of the diversity and complexity of computer hardware, programmers increasingly depend on automation in compilers and other tools to deliver efficient and reliable software. This course combines fundamental principles and (hands-on) practical applications. Specific topics include data flow and dependence theories; static and dynamic program transformation including parallelization; memory and cache management; type checking and program verification; and performance analysis and modeling. The knowledge and practice will help students to become experts in software performance and correctness. Students taking the graduate level will have additional course requirements and a more difficult project."
CSC456,Operating Systems,1,4.0,John Criswell,"Principles of operating system design, explored within the practical context of traditional, embedded, distributed, and real-time operating systems. Topics include device management, process management, scheduling, synchronization principles, memory management and virtual memory, file management and remote files, protection and security, fault tolerance, networks, and distributed computing. CSC 456, a graduate-level course, requires additional readings and assignments."
CSC457,Computer Networks,1,4.0,Adam Purtee,"Introduction to computer networks and computer communication: Architecture and Protocols:. Design of protocols for error recovery, reliable delivery, routing and congestion control. Store-and-forward networks, satellite networks, local area networks and locally distributed systems. Case studies of networks, protocols and protocol families. Emphasis on software design issues in computer communication."
CSC458,Parallel & Distributed Systems,2,4.0,Sandhya Dwarkadas,"Principles of parallel and distributed systems, and the associated implementation and performance issues. Topics covered will include programming interfaces to parallel and distributed computing, interprocess communication, synchronization, and consistency models, fault tolerance and reliability, distributed process management, distributed file systems, multiprocessor architectures, parallel program optimization, and parallelizing compilers. Students taking this course at the 400 level will be required to complete additional readings and/or assignments."
CSC461,Database Systems,7,4.0,Eustrat Zhupa,"This course presents the fundamental concepts of database design and use. It provides a study of data models, data description languages, and query facilities including relational algebra and SQL, data normalization, transactions and their properties, physical data organization and indexing, security issues and object databases. It also looks at the new trends in databases. The knowledge of the above topics will be applied in the design and implementation of a database application using a target database management system as part of a semester-long group project."
CSC462,Computational Introduction to Statistics,1,4.0,Joseph Ciminelli,"This course will cover foundational concepts in descriptive analyses, probability, and statistical inference. </p><p>Topics to be covered include data exploration through descriptive statistics (with a heavy emphasis on using R for such analyses), elementary probability, diagnostic testing, combinatorics, random variables,  elementary distribution theory, statistical inference, and statistical modeling. The inference portion of the course will focus on building and applying hypothesis tests and confidence intervals for population means, proportions, variances, and correlations. Non-parametric alternatives will also be introduced. The modeling portion of the course will include ANOVA, and simple and multiple regression and their respective computational methods. Students will be introduced to the R statistical computing environment. </p><p></p><p>PREREQUISITES: MTH 150 or MTH 150A; AND MTH 142 or MTH 161 or MTH 171</p><p>WAITLIST: If registration is full, submit your info to our Fall 2020 waitlist at: <a href=""https://forms.gle/yc8u4rs5raBoeW2V7"" target=""_blank"">https://forms.gle/yc8u4rs5raBoeW2V7</a>"
CSC463,Data Management Systems,2,4.0,Fatemeh Nargesian,<span>This course explores the internals of data engines. Topics covered will include the relational model; relational database design principles based on dependencies and normal forms; query execution; transactions; recovery; query optimization; parallel query processing; NoSQL. </span>
CSC464,Computer Audition,1,4.0,Andrea Cogliati,Please refer to ECE 477 for course description.
CSC465,Intermed Statistical Methods,2,4.0,Yusuf Bilgic,"This course is a continuation of DSCC/CSC 462, covering intermediate statistical methodology and related computational methods, with an emphasis on the R statistical computing environment.</p><p>PREREQUISITE: DSCC/CSC/TCSC 262 or instructor permission of equivalent coursework"
CSC478,Computer Security Foundations,2,4.0,John Criswell,"<span>This course will teach students the foundations of computer security. Students will learn what security is, the design principles of secure systems, how security is enforced, and how security is compromised. Topics include access controls, information flow, basic applications of cryptography, buffer overflow attacks, and malware.</span>"
CSC480,Computer Models & Limitations,3,4.0,Lane Hemaspaandra,"<span>This course studies fundamental computer models and their computational limitations. Finite-state machines and pumping lemmas, the context-free languages, Turing machines, decidable and Turing-recognizable languages, undecidability, NP-completeness. </span>Prerequisites: <span>CSC 173 and MTH 150.</span></p><p></p><p><span>YOU MUST REGISTER FOR A RECITATION WHENREGISTERING FOR THE MAIN COURSE</span>"
CSC481,Introduction to Cryptography,2,4.0,Muthuramakrishnan Venkitasubramaniam,"<span> The modern study of cryptography investigates techniques for facilitating interactions between distrustful entities. In this course we introduce some of the fundamental concepts of this study. Emphasis will be placed on the foundations of cryptography and in particular on precise definitions and proof techniques.(MTH 150 or MTH 162), AND (CSC 171 or prior programming experience)</span>"
CSC482,Design & Analysis Efficient Algorithms,3,4.0,Eustrat Zhupa,"How does one design programs and ascertain their efficiency? Divide-and-conquer techniques, string processing, graph algorithms, mathematical algorithms. Advanced data structures such as balanced tree schemes. Introduction to NP-completeness and intractable combinatorial search, optimization, and decision problems.<span>Prerequisites: (CSC 172 and MTH 150) or MTH172.</span>"
CSC486,Computational Complexity,2,4.0,Lane Hemaspaandra,"The difference between computable and uncomputable problems and between feasible and infeasible problems. Regarding the latter, what properties of a problem make it computationally simple? What properties of a problem may preclude its having efficient algorithms? How computationally hard are problems? Complete sets and low information content; P&#61;NP?; unambiguous computation and one-way functions; reductions relating the complexity of problems; complexity classes and hierarchies. Prerequisites: CSC 280"
CSC487,Sampling Algorithms,1,4.0,Daniel Stefankovic,"<div>The course will focus on algorithmic sampling from probability distributions using Markov chains, perfect sampling methods (coupling from the past, Lovasz Local Lemma), determinantal techinques (spanning trees, matchings in planar graphs), and using correlation decay. For MCMC we will study methods to bound convergence speed (coupling, canonical paths, conductance, log-concavity) and show how they apply to classical problems (colorings, permanent, volume, matroids). Background material on probability theory will be covered.</div>"
CSC495,Advanced Research CSC,3,12.0,James Allen,Blank Description
CSC531,Practicum Data-Enabled,2,2.0,Ehsan Hoque,"The course is required for students supported by the BCS/CS NRT graduate training grant, and should be taken the semester after the corresponding course DSCC/BCSC/CSC 530.</p><p>Research Seminars 11:00am-12:30pm on Friday 2/12, 3/12 &amp; 4/9. Communication Workshops 5-7pm on Tuesday 2/2, 3/9 &amp; 4/6."
CSC572,Mobile Vision Computing,1,4.0,Yuhao Zhu,"<div><p><i>Addressing the world&#39;s more pressing issues such as environmental sustainability and cultural heritage preservation increasingly relies on diverse visual applications running on emerging platforms such as Augmented/Virtual Reality headsets, autonomous machines, and smart sensor nodes. In real-time and using low power, visual computing systems must generate visual data for</i>human<i> to consume, immersively, or interpret visual data to provide personalized services, intelligently. I</i><i>n this class, we will first study fundamental building blocks for visual computing such as real-time computer vision, computer graphics, deep learning, image sensing, and optics. We will then explore application domains that build on top of these fundamental building blocks such as AR/VR, computational photography/imaging, robotics, and self-driving cars.The course will necessarily span many important layers of a computer system, including application development, programming language and framework, compiler, OS, and hardware architecture.This class will combine instructor-led lectures, student-led in-class presentations, paper reading/critiquing, and the fun &#34;wild and crazy&#34; paper writing.</i></p></div><div><div><p></p></div></div>"
CSC575,Special Topics in Human-Centered AI,1,4.0,Ehsan Hoque,"<b>Living with pandemics: can AI help mitigate?</b></p><p>A few months ago, no one knew of SARS-CoV2. Now the virus has disrupted modern society on an unimaginable scale. Like WWW2 or the 9/11 attacks, the pandemic is having a permanent imprint on the world’s psyche. </p><p>In this class, we will try to understand the network topologies of how this phenomenon spread, its current impact in our society and possible mitigation strategies through the lens of Artificial Intelligence. We will study new considerations in telemedicine (people trying to care for elderly relatives without exposing them to the virus), online learning (stresses on parents thrust into home-schooling their kids, the transformation of academic institutions creating online classes), location tracking apps that prioritize users privacy, mental health (how does our design ensure social distances when needed while promoting social connectedness),  and consequences of the global inequality in healthcare. Students will work on a semester-long project with new CoV2 datasets answering novel research questions.  </p><p>Prerequisite: CSC 242, CSC 246</p><p>This is a seminar course on varying topics related to Human Computer Interaction. This course may not be offered every year."
CSC576,Adv Topics in Data Management,1,4.0,Fatemeh Nargesian,"Data is everywhere: Web data, dark data, open data, and more . A grand challenge of data management systems is to make the fast-growing (heterogeneous) data actionable for data science, advanced analytics, and query answering. To that end, this course studies classic and emerging topics in data management including data-related challenges of data science, data discovery and integration, Web data management, and knowledge base instruction. The course also briefly explores the research related to the issues of fairness in data management. The course will be a mix of lectures, student presentations, round table discussions, a semester-long research project, and paper writing. Ultimately, this course aims to engage students in creative thinking and problem solving, and familiarize students with how data management research is conducted. Prerequisites: CSC 461 (or equivalent course) or permission of the instructor."
CSC577,Advanced Topics in Computer Vision,2,4.0,Chenliang Xu,"This is a seminar course with varying topics in the area of artificial Intelligence. May not be taught every year.</p><p></p><p>This course covers advanced research topics in computer vision with an emphasis on learning structured representations and embeddings. Approaches for learning from unimodal (e.g., images and videos), and multimodal data (e.g., vision and language, vision and audio) will be covered and include topics from structured predications, deep learning and others. The course will be a mix of lecture, student presentation and discussion."
CSC595,PhD Research in CSC,3,16.0,John Criswell,Blank Description
CSC895,Cont of Master's Enrollment,3,Lecture,,Blank Description
CSC897,Masters Dissertation,3,Lecture,Sandhya Dwarkadas,Blank Description
CSC899,Master's Dissertation,3,Lecture,James Allen,Blank Description
CSC995,Cont of Doctoral Enrollment,3,Lecture,,Blank Description
CSC997,Doctoral Dissertation,3,Lecture,Sandhya Dwarkadas,Blank Description
CSC997B,Ph.D. In-Absentia Abroad,2,Lecture,,Blank Description
CSC999,Doctoral Dissertation,3,Lecture,James Allen,Blank Description
CSC999A,Doct Dissertatn in Absentia,1,Lecture,Ehsan Hoque,Blank Description
